trigger_bar,trigger_mae_R,trigger_close_R,final_R,h1_recovered_-0.50R,h1_recovered_-0.40R,h1_recovered_-0.30R,h1_recovered_-0.20R,h1_recovered_-0.10R,h1_recovered_+0.00R,h1_recovered_+0.10R,h1_recovered_+0.20R,h1_recovered_+0.30R,h1_recovered_+0.40R,h1_close_R,h1_max_close_R,h1_max_MAE_R,h1_close_improvement_R,h1_best_recovery_R,h1_additional_MAE_R,h1_improved,h1_positive,h1_breakeven,h2_recovered_-0.50R,h2_recovered_-0.40R,h2_recovered_-0.30R,h2_recovered_-0.20R,h2_recovered_-0.10R,h2_recovered_+0.00R,h2_recovered_+0.10R,h2_recovered_+0.20R,h2_recovered_+0.30R,h2_recovered_+0.40R,h2_close_R,h2_max_close_R,h2_max_MAE_R,h2_close_improvement_R,h2_best_recovery_R,h2_additional_MAE_R,h2_improved,h2_positive,h2_breakeven,h3_recovered_-0.50R,h3_recovered_-0.40R,h3_recovered_-0.30R,h3_recovered_-0.20R,h3_recovered_-0.10R,h3_recovered_+0.00R,h3_recovered_+0.10R,h3_recovered_+0.20R,h3_recovered_+0.30R,h3_recovered_+0.40R,h3_close_R,h3_max_close_R,h3_max_MAE_R,h3_close_improvement_R,h3_best_recovery_R,h3_additional_MAE_R,h3_improved,h3_positive,h3_breakeven,h4_recovered_-0.50R,h4_recovered_-0.40R,h4_recovered_-0.30R,h4_recovered_-0.20R,h4_recovered_-0.10R,h4_recovered_+0.00R,h4_recovered_+0.10R,h4_recovered_+0.20R,h4_recovered_+0.30R,h4_recovered_+0.40R,h4_close_R,h4_max_close_R,h4_max_MAE_R,h4_close_improvement_R,h4_best_recovery_R,h4_additional_MAE_R,h4_improved,h4_positive,h4_breakeven,h5_recovered_-0.50R,h5_recovered_-0.40R,h5_recovered_-0.30R,h5_recovered_-0.20R,h5_recovered_-0.10R,h5_recovered_+0.00R,h5_recovered_+0.10R,h5_recovered_+0.20R,h5_recovered_+0.30R,h5_recovered_+0.40R,h5_close_R,h5_max_close_R,h5_max_MAE_R,h5_close_improvement_R,h5_best_recovery_R,h5_additional_MAE_R,h5_improved,h5_positive,h5_breakeven,h6_recovered_-0.50R,h6_recovered_-0.40R,h6_recovered_-0.30R,h6_recovered_-0.20R,h6_recovered_-0.10R,h6_recovered_+0.00R,h6_recovered_+0.10R,h6_recovered_+0.20R,h6_recovered_+0.30R,h6_recovered_+0.40R,h6_close_R,h6_max_close_R,h6_max_MAE_R,h6_close_improvement_R,h6_best_recovery_R,h6_additional_MAE_R,h6_improved,h6_positive,h6_breakeven,h8_recovered_-0.50R,h8_recovered_-0.40R,h8_recovered_-0.30R,h8_recovered_-0.20R,h8_recovered_-0.10R,h8_recovered_+0.00R,h8_recovered_+0.10R,h8_recovered_+0.20R,h8_recovered_+0.30R,h8_recovered_+0.40R,h8_close_R,h8_max_close_R,h8_max_MAE_R,h8_close_improvement_R,h8_best_recovery_R,h8_additional_MAE_R,h8_improved,h8_positive,h8_breakeven,h10_recovered_-0.50R,h10_recovered_-0.40R,h10_recovered_-0.30R,h10_recovered_-0.20R,h10_recovered_-0.10R,h10_recovered_+0.00R,h10_recovered_+0.10R,h10_recovered_+0.20R,h10_recovered_+0.30R,h10_recovered_+0.40R,h10_close_R,h10_max_close_R,h10_max_MAE_R,h10_close_improvement_R,h10_best_recovery_R,h10_additional_MAE_R,h10_improved,h10_positive,h10_breakeven,h12_recovered_-0.50R,h12_recovered_-0.40R,h12_recovered_-0.30R,h12_recovered_-0.20R,h12_recovered_-0.10R,h12_recovered_+0.00R,h12_recovered_+0.10R,h12_recovered_+0.20R,h12_recovered_+0.30R,h12_recovered_+0.40R,h12_close_R,h12_max_close_R,h12_max_MAE_R,h12_close_improvement_R,h12_best_recovery_R,h12_additional_MAE_R,h12_improved,h12_positive,h12_breakeven,_source_index,mae_threshold,_window
2,0.96,-0.76,-1.04,False,False,False,False,False,False,False,False,False,False,-0.54,-0.54,0.96,0.21999999999999997,0.21999999999999997,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.72,-0.54,0.96,0.040000000000000036,0.21999999999999997,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.79,-0.54,0.96,-0.030000000000000027,0.21999999999999997,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.79,-0.54,0.96,-0.030000000000000027,0.21999999999999997,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.04,-0.54,1.09,-0.28,0.21999999999999997,0.13000000000000012,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.19,-0.54,1.24,-0.42999999999999994,0.21999999999999997,0.28,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.24,-0.54,1.3,-0.48,0.21999999999999997,0.3400000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.05,-0.54,1.35,-0.29000000000000004,0.21999999999999997,0.3900000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.92,-0.54,1.35,-0.16000000000000003,0.21999999999999997,0.3900000000000001,False,False,False,0,0.6,1
2,0.96,-0.76,-1.04,False,False,False,False,False,False,False,False,False,False,-0.54,-0.54,0.96,0.21999999999999997,0.21999999999999997,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.72,-0.54,0.96,0.040000000000000036,0.21999999999999997,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.79,-0.54,0.96,-0.030000000000000027,0.21999999999999997,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.79,-0.54,0.96,-0.030000000000000027,0.21999999999999997,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.04,-0.54,1.09,-0.28,0.21999999999999997,0.13000000000000012,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.19,-0.54,1.24,-0.42999999999999994,0.21999999999999997,0.28,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.24,-0.54,1.3,-0.48,0.21999999999999997,0.3400000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.05,-0.54,1.35,-0.29000000000000004,0.21999999999999997,0.3900000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.92,-0.54,1.35,-0.16000000000000003,0.21999999999999997,0.3900000000000001,False,False,False,0,0.7,1
2,0.96,-0.76,-1.04,False,False,False,False,False,False,False,False,False,False,-0.54,-0.54,0.96,0.21999999999999997,0.21999999999999997,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.72,-0.54,0.96,0.040000000000000036,0.21999999999999997,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.79,-0.54,0.96,-0.030000000000000027,0.21999999999999997,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.79,-0.54,0.96,-0.030000000000000027,0.21999999999999997,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.04,-0.54,1.09,-0.28,0.21999999999999997,0.13000000000000012,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.19,-0.54,1.24,-0.42999999999999994,0.21999999999999997,0.28,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.24,-0.54,1.3,-0.48,0.21999999999999997,0.3400000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.05,-0.54,1.35,-0.29000000000000004,0.21999999999999997,0.3900000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.92,-0.54,1.35,-0.16000000000000003,0.21999999999999997,0.3900000000000001,False,False,False,0,0.75,1
2,0.96,-0.76,-1.04,False,False,False,False,False,False,False,False,False,False,-0.54,-0.54,0.96,0.21999999999999997,0.21999999999999997,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.72,-0.54,0.96,0.040000000000000036,0.21999999999999997,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.79,-0.54,0.96,-0.030000000000000027,0.21999999999999997,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.79,-0.54,0.96,-0.030000000000000027,0.21999999999999997,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.04,-0.54,1.09,-0.28,0.21999999999999997,0.13000000000000012,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.19,-0.54,1.24,-0.42999999999999994,0.21999999999999997,0.28,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.24,-0.54,1.3,-0.48,0.21999999999999997,0.3400000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.05,-0.54,1.35,-0.29000000000000004,0.21999999999999997,0.3900000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.92,-0.54,1.35,-0.16000000000000003,0.21999999999999997,0.3900000000000001,False,False,False,0,0.8,1
2,0.96,-0.76,-1.04,False,False,False,False,False,False,False,False,False,False,-0.54,-0.54,0.96,0.21999999999999997,0.21999999999999997,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.72,-0.54,0.96,0.040000000000000036,0.21999999999999997,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.79,-0.54,0.96,-0.030000000000000027,0.21999999999999997,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.79,-0.54,0.96,-0.030000000000000027,0.21999999999999997,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.04,-0.54,1.09,-0.28,0.21999999999999997,0.13000000000000012,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.19,-0.54,1.24,-0.42999999999999994,0.21999999999999997,0.28,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.24,-0.54,1.3,-0.48,0.21999999999999997,0.3400000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.05,-0.54,1.35,-0.29000000000000004,0.21999999999999997,0.3900000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.92,-0.54,1.35,-0.16000000000000003,0.21999999999999997,0.3900000000000001,False,False,False,0,0.85,1
2,0.96,-0.76,-1.04,False,False,False,False,False,False,False,False,False,False,-0.54,-0.54,0.96,0.21999999999999997,0.21999999999999997,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.72,-0.54,0.96,0.040000000000000036,0.21999999999999997,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.79,-0.54,0.96,-0.030000000000000027,0.21999999999999997,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.79,-0.54,0.96,-0.030000000000000027,0.21999999999999997,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.04,-0.54,1.09,-0.28,0.21999999999999997,0.13000000000000012,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.19,-0.54,1.24,-0.42999999999999994,0.21999999999999997,0.28,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.24,-0.54,1.3,-0.48,0.21999999999999997,0.3400000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.05,-0.54,1.35,-0.29000000000000004,0.21999999999999997,0.3900000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.92,-0.54,1.35,-0.16000000000000003,0.21999999999999997,0.3900000000000001,False,False,False,0,0.9,1
2,0.96,-0.76,-1.04,False,False,False,False,False,False,False,False,False,False,-0.54,-0.54,0.96,0.21999999999999997,0.21999999999999997,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.72,-0.54,0.96,0.040000000000000036,0.21999999999999997,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.79,-0.54,0.96,-0.030000000000000027,0.21999999999999997,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.79,-0.54,0.96,-0.030000000000000027,0.21999999999999997,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.04,-0.54,1.09,-0.28,0.21999999999999997,0.13000000000000012,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.19,-0.54,1.24,-0.42999999999999994,0.21999999999999997,0.28,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.24,-0.54,1.3,-0.48,0.21999999999999997,0.3400000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.05,-0.54,1.35,-0.29000000000000004,0.21999999999999997,0.3900000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.92,-0.54,1.35,-0.16000000000000003,0.21999999999999997,0.3900000000000001,False,False,False,0,0.95,1
7,1.09,-1.04,-1.04,False,False,False,False,False,False,False,False,False,False,-1.19,-1.04,1.24,-0.1499999999999999,0.0,0.1499999999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.01,-1.01,1.3,0.030000000000000027,0.030000000000000027,0.20999999999999996,True,False,False,False,False,False,False,False,False,False,False,False,False,-1.24,-1.01,1.3,-0.19999999999999996,0.030000000000000027,0.20999999999999996,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.19,-1.01,1.35,-0.1499999999999999,0.030000000000000027,0.26,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.05,-1.01,1.35,-0.010000000000000009,0.030000000000000027,0.26,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.84,-0.84,1.35,0.20000000000000007,0.20000000000000007,0.26,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.89,-0.84,1.35,0.15000000000000002,0.20000000000000007,0.26,True,False,False,False,False,False,False,False,False,False,False,False,False,-1.18,-0.84,1.35,-0.1399999999999999,0.20000000000000007,0.26,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.24,-0.84,1.35,-0.19999999999999996,0.20000000000000007,0.26,False,False,False,0,1.0,1
2,0.63,-0.43,2.03,True,False,False,False,False,False,False,False,False,False,-0.69,-0.43,0.84,-0.25999999999999995,0.0,0.20999999999999996,False,False,False,True,True,False,False,False,False,False,False,False,False,-0.36,-0.36,0.84,0.07,0.07,0.20999999999999996,True,False,False,True,True,True,True,True,True,False,False,False,False,0.03,0.03,0.84,0.45999999999999996,0.45999999999999996,0.20999999999999996,True,True,True,True,True,True,True,True,True,True,True,True,False,0.39,0.39,0.84,0.8200000000000001,0.8200000000000001,0.20999999999999996,True,True,True,True,True,True,True,True,True,True,True,True,False,0.36,0.39,0.84,0.79,0.8200000000000001,0.20999999999999996,True,True,True,True,True,True,True,True,True,True,True,True,False,0.31,0.39,0.84,0.74,0.8200000000000001,0.20999999999999996,True,True,True,True,True,True,True,True,True,True,True,True,True,0.17,0.44,0.84,0.6,0.87,0.20999999999999996,True,True,True,True,True,True,True,True,True,True,True,True,True,0.73,0.73,0.84,1.16,1.16,0.20999999999999996,True,True,True,True,True,True,True,True,True,True,True,True,True,0.65,0.73,0.84,1.08,1.16,0.20999999999999996,True,True,True,1,0.6,1
3,0.84,-0.69,2.03,True,True,False,False,False,False,False,False,False,False,-0.36,-0.36,0.84,0.32999999999999996,0.32999999999999996,0.0,True,False,False,True,True,True,True,True,True,False,False,False,False,0.03,0.03,0.84,0.72,0.72,0.0,True,True,True,True,True,True,True,True,True,True,True,True,False,0.39,0.39,0.84,1.08,1.08,0.0,True,True,True,True,True,True,True,True,True,True,True,True,False,0.36,0.39,0.84,1.0499999999999998,1.08,0.0,True,True,True,True,True,True,True,True,True,True,True,True,False,0.31,0.39,0.84,1.0,1.08,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,0.44,0.44,0.84,1.13,1.13,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,0.21,0.44,0.84,0.8999999999999999,1.13,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,0.43,0.73,0.84,1.1199999999999999,1.42,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,0.75,0.75,0.84,1.44,1.44,0.0,True,True,True,1,0.7,1
